word,associates,part no,number_assoc,ospan,math,strict,ravens,zero_slope
before,4,p32,1,49,96,21,0,1
beginning,4,p32,1,49,96,21,0,1
blow,23,p32,1,49,96,21,0,1
body,31,p32,1,49,96,21,0,1
bouquet,3,p32,2,49,96,21,0,1
break,26,p32,1,49,96,21,0,1
bum,21,p32,1,49,96,21,0,1
car,25,p32,1,49,96,21,0,1
casual,20,p32,1,49,96,21,0,1
challenge,21,p32,1,49,96,21,0,1
chauffeur,5,p32,1,49,96,21,0,1
chowder,4,p32,1,49,96,21,0,1
cinema,4,p32,1,49,96,21,0,1
closed,5,p32,1,49,96,21,0,1
cloth,21,p32,1,49,96,21,0,1
common,23,p32,1,49,96,21,0,1
computer,33,p32,1,49,96,21,0,1
corpse,3,p32,1,49,96,21,0,1
dancer,23,p32,1,49,96,21,0,1
dangerous,22,p32,1,49,96,21,0,1
difficult,3,p32,1,49,96,21,0,1
melody,5,p32,1,49,96,21,0,1
meow,3,p32,1,49,96,21,0,1
organize,23,p32,1,49,96,21,0,1
patience,21,p32,1,49,96,21,0,1
peaceful,20,p32,1,49,96,21,0,1
pupil,4,p32,1,49,96,21,0,1
racket,3,p32,1,49,96,21,0,1
assist,3,p33,1,56,95,49,17,1
bashful,4,p33,1,56,95,49,17,1
before,4,p33,1,56,95,49,17,1
beginning,4,p33,1,56,95,49,17,1
blow,23,p33,1,56,95,49,17,1
body,31,p33,1,56,95,49,17,1
bouquet,3,p33,2,56,95,49,17,1
break,26,p33,1,56,95,49,17,1
bum,21,p33,1,56,95,49,17,1
car,25,p33,1,56,95,49,17,1
casual,20,p33,1,56,95,49,17,1
challenge,21,p33,1,56,95,49,17,1
chauffeur,5,p33,1,56,95,49,17,1
chowder,4,p33,1,56,95,49,17,1
cinema,4,p33,1,56,95,49,17,1
closed,5,p33,1,56,95,49,17,1
cloth,21,p33,1,56,95,49,17,1
common,23,p33,1,56,95,49,17,1
computer,33,p33,1,56,95,49,17,1
corpse,3,p33,1,56,95,49,17,1
dancer,23,p33,1,56,95,49,17,1
dangerous,22,p33,1,56,95,49,17,1
difficult,3,p33,1,56,95,49,17,1
melody,5,p33,1,56,95,49,17,1
meow,3,p33,1,56,95,49,17,1
organize,23,p33,1,56,95,49,17,1
patience,21,p33,1,56,95,49,17,1
peaceful,20,p33,1,56,95,49,17,1
pupil,4,p33,1,56,95,49,17,1
racket,3,p33,1,56,95,49,17,1
assist,3,p34,1,48,92,22,15,2
bashful,4,p34,1,48,92,22,15,2
before,4,p34,2,48,92,22,15,2
beginning,4,p34,2,48,92,22,15,2
blow,23,p34,1,48,92,22,15,2
body,31,p34,1,48,92,22,15,2
bouquet,3,p34,1,48,92,22,15,2
break,26,p34,1,48,92,22,15,2
bum,21,p34,1,48,92,22,15,2
car,25,p34,1,48,92,22,15,2
casual,20,p34,1,48,92,22,15,2
challenge,21,p34,1,48,92,22,15,2
chauffeur,5,p34,1,48,92,22,15,2
chowder,4,p34,1,48,92,22,15,2
cinema,4,p34,1,48,92,22,15,2
closed,5,p34,1,48,92,22,15,2
cloth,21,p34,1,48,92,22,15,2
common,23,p34,1,48,92,22,15,2
computer,33,p34,1,48,92,22,15,2
corpse,3,p34,1,48,92,22,15,2
dancer,23,p34,1,48,92,22,15,2
dangerous,22,p34,1,48,92,22,15,2
difficult,3,p34,1,48,92,22,15,2
melody,5,p34,1,48,92,22,15,2
meow,3,p34,1,48,92,22,15,2
organize,23,p34,1,48,92,22,15,2
patience,21,p34,1,48,92,22,15,2
peaceful,20,p34,1,48,92,22,15,2
pupil,4,p34,1,48,92,22,15,2
racket,3,p34,1,48,92,22,15,2
assist,3,p35,1,66,93,56,6,2
bashful,4,p35,1,66,93,56,6,2
before,4,p35,1,66,93,56,6,2
beginning,4,p35,1,66,93,56,6,2
blow,23,p35,2,66,93,56,6,2
body,31,p35,1,66,93,56,6,2
bouquet,3,p35,1,66,93,56,6,2
break,26,p35,2,66,93,56,6,2
bum,21,p35,1,66,93,56,6,2
car,25,p35,1,66,93,56,6,2
casual,20,p35,1,66,93,56,6,2
challenge,21,p35,1,66,93,56,6,2
chauffeur,5,p35,1,66,93,56,6,2
chowder,4,p35,1,66,93,56,6,2
cinema,4,p35,1,66,93,56,6,2
closed,5,p35,1,66,93,56,6,2
cloth,21,p35,1,66,93,56,6,2
common,23,p35,1,66,93,56,6,2
computer,33,p35,1,66,93,56,6,2
corpse,3,p35,1,66,93,56,6,2
dancer,23,p35,1,66,93,56,6,2
dangerous,22,p35,1,66,93,56,6,2
difficult,3,p35,1,66,93,56,6,2
melody,5,p35,1,66,93,56,6,2
meow,3,p35,1,66,93,56,6,2
organize,23,p35,1,66,93,56,6,2
patience,21,p35,1,66,93,56,6,2
peaceful,20,p35,1,66,93,56,6,2
pupil,4,p35,1,66,93,56,6,2
racket,3,p35,1,66,93,56,6,2
assist,3,p36,2,70,57,54,3,3
bashful,4,p36,1,70,57,54,3,3
before,4,p36,3,70,57,54,3,3
beginning,4,p36,4,70,57,54,3,3
blow,23,p36,3,70,57,54,3,3
body,31,p36,3,70,57,54,3,3
bouquet,3,p36,2,70,57,54,3,3
break,26,p36,2,70,57,54,3,3
bum,21,p36,2,70,57,54,3,3
car,25,p36,3,70,57,54,3,3
casual,20,p36,1,70,57,54,3,3
challenge,21,p36,3,70,57,54,3,3
chauffeur,5,p36,1,70,57,54,3,3
chowder,4,p36,2,70,57,54,3,3
cinema,4,p36,3,70,57,54,3,3
closed,5,p36,1,70,57,54,3,3
cloth,21,p36,2,70,57,54,3,3
common,23,p36,3,70,57,54,3,3
computer,33,p36,1,70,57,54,3,3
corpse,3,p36,2,70,57,54,3,3
dancer,23,p36,4,70,57,54,3,3
dangerous,22,p36,3,70,57,54,3,3
difficult,3,p36,2,70,57,54,3,3
melody,5,p36,2,70,57,54,3,3
meow,3,p36,2,70,57,54,3,3
organize,23,p36,3,70,57,54,3,3
patience,21,p36,2,70,57,54,3,3
peaceful,20,p36,2,70,57,54,3,3
pupil,4,p36,2,70,57,54,3,3
racket,3,p36,1,70,57,54,3,3
assist,3,p37,1,51,95,20,5,0
bashful,4,p37,1,51,95,20,5,0
before,4,p37,1,51,95,20,5,0
beginning,4,p37,1,51,95,20,5,0
blow,23,p37,1,51,95,20,5,0
body,31,p37,1,51,95,20,5,0
bouquet,3,p37,1,51,95,20,5,0
break,26,p37,1,51,95,20,5,0
bum,21,p37,1,51,95,20,5,0
car,25,p37,1,51,95,20,5,0
casual,20,p37,1,51,95,20,5,0
challenge,21,p37,1,51,95,20,5,0
chauffeur,5,p37,1,51,95,20,5,0
chowder,4,p37,1,51,95,20,5,0
cinema,4,p37,1,51,95,20,5,0
closed,5,p37,1,51,95,20,5,0
cloth,21,p37,1,51,95,20,5,0
common,23,p37,1,51,95,20,5,0
computer,33,p37,1,51,95,20,5,0
corpse,3,p37,1,51,95,20,5,0
dancer,23,p37,1,51,95,20,5,0
dangerous,22,p37,1,51,95,20,5,0
difficult,3,p37,1,51,95,20,5,0
melody,5,p37,1,51,95,20,5,0
meow,3,p37,1,51,95,20,5,0
organize,23,p37,1,51,95,20,5,0
patience,21,p37,1,51,95,20,5,0
peaceful,20,p37,1,51,95,20,5,0
pupil,4,p37,1,51,95,20,5,0
racket,3,p37,1,51,95,20,5,0
assist,3,p38,1,75,100,75,19,0
bashful,4,p38,1,75,100,75,19,0
before,4,p38,1,75,100,75,19,0
beginning,4,p38,1,75,100,75,19,0
blow,23,p38,1,75,100,75,19,0
body,31,p38,1,75,100,75,19,0
bouquet,3,p38,1,75,100,75,19,0
break,26,p38,1,75,100,75,19,0
bum,21,p38,1,75,100,75,19,0
car,25,p38,1,75,100,75,19,0
casual,20,p38,1,75,100,75,19,0
challenge,21,p38,1,75,100,75,19,0
chauffeur,5,p38,1,75,100,75,19,0
chowder,4,p38,1,75,100,75,19,0
cinema,4,p38,1,75,100,75,19,0
closed,5,p38,1,75,100,75,19,0
cloth,21,p38,1,75,100,75,19,0
common,23,p38,1,75,100,75,19,0
computer,33,p38,1,75,100,75,19,0
corpse,3,p38,1,75,100,75,19,0
dancer,23,p38,1,75,100,75,19,0
dangerous,22,p38,1,75,100,75,19,0
difficult,3,p38,1,75,100,75,19,0
melody,5,p38,1,75,100,75,19,0
meow,3,p38,1,75,100,75,19,0
organize,23,p38,1,75,100,75,19,0
patience,21,p38,1,75,100,75,19,0
peaceful,20,p38,1,75,100,75,19,0
pupil,4,p38,1,75,100,75,19,0
racket,3,p38,1,75,100,75,19,0
assist,3,p39,1,45,93,14,9,3
bashful,4,p39,2,45,93,14,9,3
before,4,p39,1,45,93,14,9,3
beginning,4,p39,1,45,93,14,9,3
blow,23,p39,2,45,93,14,9,3
body,31,p39,1,45,93,14,9,3
bouquet,3,p39,1,45,93,14,9,3
break,26,p39,3,45,93,14,9,3
bum,21,p39,1,45,93,14,9,3
car,25,p39,1,45,93,14,9,3
casual,20,p39,2,45,93,14,9,3
challenge,21,p39,1,45,93,14,9,3
chauffeur,5,p39,1,45,93,14,9,3
chowder,4,p39,1,45,93,14,9,3
cinema,4,p39,1,45,93,14,9,3
closed,5,p39,1,45,93,14,9,3
cloth,21,p39,2,45,93,14,9,3
common,23,p39,1,45,93,14,9,3
computer,33,p39,1,45,93,14,9,3
corpse,3,p39,3,45,93,14,9,3
dancer,23,p39,1,45,93,14,9,3
dangerous,22,p39,1,45,93,14,9,3
difficult,3,p39,1,45,93,14,9,3
melody,5,p39,1,45,93,14,9,3
meow,3,p39,2,45,93,14,9,3
organize,23,p39,1,45,93,14,9,3
patience,21,p39,1,45,93,14,9,3
peaceful,20,p39,1,45,93,14,9,3
pupil,4,p39,2,45,93,14,9,3
racket,3,p39,1,45,93,14,9,3
assist,3,p40,2,59,97,45,25,3
bashful,4,p40,2,59,97,45,25,3
before,4,p40,2,59,97,45,25,3
beginning,4,p40,3,59,97,45,25,3
blow,23,p40,2,59,97,45,25,3
body,31,p40,3,59,97,45,25,3
bouquet,3,p40,3,59,97,45,25,3
break,26,p40,3,59,97,45,25,3
bum,21,p40,3,59,97,45,25,3
car,25,p40,3,59,97,45,25,3
casual,20,p40,2,59,97,45,25,3
challenge,21,p40,2,59,97,45,25,3
chauffeur,5,p40,2,59,97,45,25,3
chowder,4,p40,2,59,97,45,25,3
cinema,4,p40,3,59,97,45,25,3
closed,5,p40,2,59,97,45,25,3
cloth,21,p40,3,59,97,45,25,3
common,23,p40,2,59,97,45,25,3
computer,33,p40,2,59,97,45,25,3
corpse,3,p40,3,59,97,45,25,3
dancer,23,p40,3,59,97,45,25,3
dangerous,22,p40,2,59,97,45,25,3
difficult,3,p40,3,59,97,45,25,3
melody,5,p40,3,59,97,45,25,3
meow,3,p40,3,59,97,45,25,3
organize,23,p40,3,59,97,45,25,3
patience,21,p40,2,59,97,45,25,3
peaceful,20,p40,2,59,97,45,25,3
pupil,4,p40,2,59,97,45,25,3
racket,3,p40,3,59,97,45,25,3
assist,3,p41,1,48,91,25,0,3
bashful,4,p41,3,48,91,25,0,3
before,4,p41,3,48,91,25,0,3
beginning,4,p41,1,48,91,25,0,3
blow,23,p41,1,48,91,25,0,3
body,31,p41,1,48,91,25,0,3
bouquet,3,p41,1,48,91,25,0,3
break,26,p41,2,48,91,25,0,3
bum,21,p41,1,48,91,25,0,3
car,25,p41,2,48,91,25,0,3
casual,20,p41,1,48,91,25,0,3
challenge,21,p41,1,48,91,25,0,3
chauffeur,5,p41,1,48,91,25,0,3
chowder,4,p41,3,48,91,25,0,3
cinema,4,p41,1,48,91,25,0,3
closed,5,p41,1,48,91,25,0,3
cloth,21,p41,1,48,91,25,0,3
common,23,p41,1,48,91,25,0,3
computer,33,p41,2,48,91,25,0,3
corpse,3,p41,3,48,91,25,0,3
dancer,23,p41,3,48,91,25,0,3
dangerous,22,p41,3,48,91,25,0,3
difficult,3,p41,1,48,91,25,0,3
melody,5,p41,1,48,91,25,0,3
meow,3,p41,2,48,91,25,0,3
organize,23,p41,1,48,91,25,0,3
patience,21,p41,1,48,91,25,0,3
peaceful,20,p41,3,48,91,25,0,3
pupil,4,p41,3,48,91,25,0,3
racket,3,p41,2,48,91,25,0,3
assist,3,p42,1,75,97,75,25,3
bashful,4,p42,1,75,97,75,25,3
before,4,p42,1,75,97,75,25,3
beginning,4,p42,1,75,97,75,25,3
blow,23,p42,1,75,97,75,25,3
body,31,p42,2,75,97,75,25,3
bouquet,3,p42,2,75,97,75,25,3
break,26,p42,1,75,97,75,25,3
bum,21,p42,2,75,97,75,25,3
car,25,p42,3,75,97,75,25,3
casual,20,p42,2,75,97,75,25,3
challenge,21,p42,1,75,97,75,25,3
chauffeur,5,p42,2,75,97,75,25,3
chowder,4,p42,2,75,97,75,25,3
cinema,4,p42,1,75,97,75,25,3
closed,5,p42,1,75,97,75,25,3
cloth,21,p42,1,75,97,75,25,3
common,23,p42,1,75,97,75,25,3
computer,33,p42,2,75,97,75,25,3
corpse,3,p42,2,75,97,75,25,3
dancer,23,p42,2,75,97,75,25,3
dangerous,22,p42,2,75,97,75,25,3
difficult,3,p42,1,75,97,75,25,3
melody,5,p42,1,75,97,75,25,3
meow,3,p42,1,75,97,75,25,3
organize,23,p42,3,75,97,75,25,3
patience,21,p42,2,75,97,75,25,3
peaceful,20,p42,2,75,97,75,25,3
pupil,4,p42,2,75,97,75,25,3
racket,3,p42,1,75,97,75,25,3
assist,3,p43,1,71,93,61,9,0
bashful,4,p43,1,71,93,61,9,0
before,4,p43,1,71,93,61,9,0
beginning,4,p43,1,71,93,61,9,0
blow,23,p43,1,71,93,61,9,0
body,31,p43,1,71,93,61,9,0
bouquet,3,p43,1,71,93,61,9,0
break,26,p43,1,71,93,61,9,0
bum,21,p43,1,71,93,61,9,0
car,25,p43,1,71,93,61,9,0
casual,20,p43,1,71,93,61,9,0
challenge,21,p43,1,71,93,61,9,0
chauffeur,5,p43,1,71,93,61,9,0
chowder,4,p43,1,71,93,61,9,0
cinema,4,p43,1,71,93,61,9,0
closed,5,p43,1,71,93,61,9,0
cloth,21,p43,1,71,93,61,9,0
common,23,p43,1,71,93,61,9,0
computer,33,p43,1,71,93,61,9,0
corpse,3,p43,1,71,93,61,9,0
dancer,23,p43,1,71,93,61,9,0
dangerous,22,p43,1,71,93,61,9,0
difficult,3,p43,1,71,93,61,9,0
melody,5,p43,1,71,93,61,9,0
meow,3,p43,1,71,93,61,9,0
organize,23,p43,1,71,93,61,9,0
patience,21,p43,1,71,93,61,9,0
peaceful,20,p43,1,71,93,61,9,0
pupil,4,p43,1,71,93,61,9,0
racket,3,p43,1,71,93,61,9,0
assist,3,p44,3,69,97,47,26,3
bashful,4,p44,3,69,97,47,26,3
before,4,p44,1,69,97,47,26,3
beginning,4,p44,1,69,97,47,26,3
blow,23,p44,1,69,97,47,26,3
body,31,p44,1,69,97,47,26,3
bouquet,3,p44,2,69,97,47,26,3
break,26,p44,1,69,97,47,26,3
bum,21,p44,3,69,97,47,26,3
car,25,p44,1,69,97,47,26,3
casual,20,p44,4,69,97,47,26,3
challenge,21,p44,1,69,97,47,26,3
chauffeur,5,p44,3,69,97,47,26,3
chowder,4,p44,4,69,97,47,26,3
cinema,4,p44,1,69,97,47,26,3
closed,5,p44,3,69,97,47,26,3
cloth,21,p44,3,69,97,47,26,3
common,23,p44,2,69,97,47,26,3
computer,33,p44,2,69,97,47,26,3
corpse,3,p44,3,69,97,47,26,3
dancer,23,p44,2,69,97,47,26,3
dangerous,22,p44,2,69,97,47,26,3
difficult,3,p44,1,69,97,47,26,3
melody,5,p44,1,69,97,47,26,3
meow,3,p44,1,69,97,47,26,3
organize,23,p44,4,69,97,47,26,3
patience,21,p44,1,69,97,47,26,3
peaceful,20,p44,2,69,97,47,26,3
pupil,4,p44,3,69,97,47,26,3
racket,3,p44,4,69,97,47,26,3
assist,3,p45,4,37,100,21,21,3
bashful,4,p45,4,37,100,21,21,3
before,4,p45,3,37,100,21,21,3
beginning,4,p45,3,37,100,21,21,3
blow,23,p45,3,37,100,21,21,3
body,31,p45,6,37,100,21,21,3
bouquet,3,p45,5,37,100,21,21,3
break,26,p45,3,37,100,21,21,3
bum,21,p45,4,37,100,21,21,3
car,25,p45,6,37,100,21,21,3
casual,20,p45,4,37,100,21,21,3
challenge,21,p45,3,37,100,21,21,3
chauffeur,5,p45,5,37,100,21,21,3
chowder,4,p45,6,37,100,21,21,3
cinema,4,p45,5,37,100,21,21,3
closed,5,p45,3,37,100,21,21,3
cloth,21,p45,4,37,100,21,21,3
common,23,p45,4,37,100,21,21,3
computer,33,p45,5,37,100,21,21,3
corpse,3,p45,6,37,100,21,21,3
dancer,23,p45,6,37,100,21,21,3
dangerous,22,p45,3,37,100,21,21,3
difficult,3,p45,3,37,100,21,21,3
melody,5,p45,4,37,100,21,21,3
meow,3,p45,4,37,100,21,21,3
organize,23,p45,3,37,100,21,21,3
patience,21,p45,3,37,100,21,21,3
peaceful,20,p45,4,37,100,21,21,3
pupil,4,p45,7,37,100,21,21,3
racket,3,p45,4,37,100,21,21,3
assist,3,p46,1,55,92,38,7,0
bashful,4,p46,1,55,92,38,7,0
before,4,p46,1,55,92,38,7,0
beginning,4,p46,1,55,92,38,7,0
blow,23,p46,1,55,92,38,7,0
body,31,p46,1,55,92,38,7,0
bouquet,3,p46,1,55,92,38,7,0
break,26,p46,1,55,92,38,7,0
bum,21,p46,1,55,92,38,7,0
car,25,p46,1,55,92,38,7,0
casual,20,p46,1,55,92,38,7,0
challenge,21,p46,1,55,92,38,7,0
chauffeur,5,p46,1,55,92,38,7,0
chowder,4,p46,1,55,92,38,7,0
cinema,4,p46,1,55,92,38,7,0
closed,5,p46,1,55,92,38,7,0
cloth,21,p46,1,55,92,38,7,0
common,23,p46,1,55,92,38,7,0
computer,33,p46,1,55,92,38,7,0
corpse,3,p46,1,55,92,38,7,0
dancer,23,p46,1,55,92,38,7,0
dangerous,22,p46,1,55,92,38,7,0
difficult,3,p46,1,55,92,38,7,0
melody,5,p46,1,55,92,38,7,0
meow,3,p46,1,55,92,38,7,0
organize,23,p46,1,55,92,38,7,0
patience,21,p46,1,55,92,38,7,0
peaceful,20,p46,1,55,92,38,7,0
pupil,4,p46,1,55,92,38,7,0
racket,3,p46,1,55,92,38,7,0
assist,3,p48,1,37,89,21,9,0
bashful,4,p48,1,37,89,21,9,0
before,4,p48,1,37,89,21,9,0
beginning,4,p48,1,37,89,21,9,0
blow,23,p48,1,37,89,21,9,0
body,31,p48,1,37,89,21,9,0
bouquet,3,p48,1,37,89,21,9,0
break,26,p48,1,37,89,21,9,0
bum,21,p48,1,37,89,21,9,0
car,25,p48,1,37,89,21,9,0
casual,20,p48,1,37,89,21,9,0
challenge,21,p48,1,37,89,21,9,0
chauffeur,5,p48,1,37,89,21,9,0
chowder,4,p48,1,37,89,21,9,0
cinema,4,p48,1,37,89,21,9,0
closed,5,p48,1,37,89,21,9,0
cloth,21,p48,1,37,89,21,9,0
common,23,p48,1,37,89,21,9,0
computer,33,p48,1,37,89,21,9,0
corpse,3,p48,1,37,89,21,9,0
dancer,23,p48,1,37,89,21,9,0
dangerous,22,p48,1,37,89,21,9,0
difficult,3,p48,1,37,89,21,9,0
melody,5,p48,1,37,89,21,9,0
meow,3,p48,1,37,89,21,9,0
organize,23,p48,1,37,89,21,9,0
patience,21,p48,1,37,89,21,9,0
peaceful,20,p48,1,37,89,21,9,0
pupil,4,p48,1,37,89,21,9,0
racket,3,p48,1,37,89,21,9,0
assist,3,p49,2,48,95,28,14,3
bashful,4,p49,3,48,95,28,14,3
before,4,p49,2,48,95,28,14,3
beginning,4,p49,2,48,95,28,14,3
blow,23,p49,2,48,95,28,14,3
body,31,p49,2,48,95,28,14,3
bouquet,3,p49,2,48,95,28,14,3
break,26,p49,3,48,95,28,14,3
bum,21,p49,1,48,95,28,14,3
car,25,p49,4,48,95,28,14,3
casual,20,p49,2,48,95,28,14,3
challenge,21,p49,2,48,95,28,14,3
chauffeur,5,p49,2,48,95,28,14,3
chowder,4,p49,1,48,95,28,14,3
cinema,4,p49,2,48,95,28,14,3
closed,5,p49,2,48,95,28,14,3
cloth,21,p49,2,48,95,28,14,3
common,23,p49,2,48,95,28,14,3
computer,33,p49,3,48,95,28,14,3
corpse,3,p49,1,48,95,28,14,3
dancer,23,p49,2,48,95,28,14,3
dangerous,22,p49,2,48,95,28,14,3
difficult,3,p49,2,48,95,28,14,3
melody,5,p49,2,48,95,28,14,3
meow,3,p49,2,48,95,28,14,3
organize,23,p49,2,48,95,28,14,3
patience,21,p49,2,48,95,28,14,3
peaceful,20,p49,2,48,95,28,14,3
pupil,4,p49,2,48,95,28,14,3
racket,3,p49,2,48,95,28,14,3
assist,3,p50,1,58,99,42,11,0
bashful,4,p50,1,58,99,42,11,0
before,4,p50,1,58,99,42,11,0
